Prices,Predict value,Status,IN&DEC
31989.01,32031.4832439742,Buy,84.94648794840032
31884.98,31958.2316219871,Buy,146.503243974199
31962.21,31960.22081099355,neutral,-3.978378012900066
32006.04,31983.130405496777,sell,-45.81918900645178
32040.48,32011.805202748386,sell,-57.34959450322276
32007.95,32009.877601374195,neutral,3.8552027483856364
31971.62,31990.7488006871,Buy,38.25760137419638
31940.11,31965.42940034355,Buy,50.63880068709841
31952.96,31959.194700171774,neutral,12.46940034355066
31944.25,31951.72235008589,neutral,14.944700171774457
31952.36,31952.041175042945,neutral,-0.6376499141115346
31909.17,31930.605587521473,Buy,42.87117504294656
31885.53,31908.067793760736,Buy,45.07558752147452
31889.95,31899.00889688037,Buy,18.117793760735367
31910.18,31904.594448440184,neutral,-11.17110311963188
31868.97,31886.782224220093,Buy,35.62444844018319
31876.92,31881.851112110046,neutral,9.862224220094504
31880.15,31881.000556055023,neutral,1.7011121100440505
31911.66,31896.33027802751,sell,-30.659443944976374
31944.28,31920.305139013755,sell,-47.94972197248717
31952.35,31936.327569506877,sell,-32.04486098624329
32035.49,31985.90878475344,sell,-99.1624304931247
32032.94,32009.42439237672,sell,-47.03121524655944
31886.13,31947.777196188363,Buy,123.29439237671977
31926.49,31937.13359809418,Buy,21.287196188361122
31992.72,31964.92679904709,sell,-55.58640190582082
31947.31,31956.118399523548,Buy,17.616799047089444
31936.45,31946.284199761772,Buy,19.668399523547123
31941.1,31943.692099880886,neutral,5.184199761773925
31945.02,31944.35604994044,neutral,-1.3279001191149291
31915.84,31930.09802497022,Buy,28.516049940441007
31900.35,31915.22401248511,Buy,29.748024970220285
31996.87,31956.047006242552,sell,-81.6459875148903
31944.48,31950.263503121278,neutral,11.567006242552452
31946.57,31948.41675156064,neutral,3.6935031212778995
31921.56,31934.988375780318,Buy,26.85675156063735
31922.36,31928.67418789016,neutral,12.628375780317583
31884.66,31906.667093945078,Buy,44.01418789015952
31838.36,31872.51354697254,Buy,68.30709394507721
31812.65,31842.581773486272,Buy,59.86354697253773
31853.6,31848.090886743135,neutral,-11.018226513726404
31833.21,31840.650443371567,neutral,14.880886743136216
31726.68,31783.665221685784,Buy,113.97044337156694
31767.85,31775.75761084289,Buy,15.815221685785218
31804.66,31790.208805421447,sell,-28.9023891571087
31750.05,31770.12940271072,Buy,40.15880542144805
31733.44,31751.784701355362,Buy,36.68940271072279
31718.93,31735.35735067768,Buy,32.85470135536161
31690.01,31712.68367533884,Buy,45.3473506776827
31740.11,31726.39683766942,sell,-27.426324661159015
31786.04,31756.21841883471,sell,-59.6431623305798
31767.63,31761.924209417353,neutral,-11.411581165291864
31835.86,31798.892104708677,sell,-73.93579058264731
31837.17,31818.031052354338,sell,-38.27789529132133
31862.48,31840.25552617717,sell,-44.448947645661974
31834.96,31837.607763088585,neutral,5.2955261771712685
