date,open,high,low,close
1617915840000,57562.4,57586.92,57562.39,57564.94
1617915900000,57564.94,57566.53,57475.0,57475.83
1617915960000,57475.32,57495.0,57450.0,57489.67
1617916020000,57492.12,57520.74,57489.74,57512.14
1617916080000,57512.99,57512.99,57471.12,57476.49
1617916140000,57476.49,57498.13,57450.0,57450.18
1617916200000,57450.01,57467.09,57449.04,57466.32
1617916260000,57466.32,57468.93,57450.0,57460.47
1617916320000,57460.47,57465.49,57450.05,57459.61
1617916380000,57458.99,57503.71,57455.66,57502.45
1617916440000,57502.46,57517.0,57502.45,57515.26
1617916500000,57516.17,57542.05,57505.94,57537.54
1617916560000,57537.54,57573.19,57530.96,57565.75
1617916620000,57565.74,57575.0,57559.92,57570.21
1617916680000,57565.52,57571.7,57550.0,57570.0
1617916740000,57570.0,57574.72,57545.41,57561.28
1617916800000,57558.97,57569.49,57547.6,57559.89
1617916860000,57560.24,57567.23,57531.73,57542.58
1617916920000,57542.58,57562.13,57535.45,57556.42
1617916980000,57556.42,57556.46,57553.55,57553.65
1617917040000,57553.65,57562.6,57539.9,57542.5
1617917100000,57541.75,57553.71,57537.79,57548.0
1617917160000,57544.02,57550.0,57531.73,57537.48
1617917220000,57537.49,57549.7,57527.67,57546.86
1617917280000,57546.86,57550.01,57500.0,57500.0
1617917340000,57500.0,57500.01,57494.45,57499.91
1617917400000,57499.92,57537.61,57499.91,57537.16
1617917460000,57536.84,57573.69,57532.81,57573.69
1617917520000,57573.69,57595.0,57569.48,57593.72
1617917580000,57593.72,57619.98,57593.71,57610.26
1617917640000,57610.26,57610.73,57590.0,57601.47
1617917700000,57601.37,57607.92,57590.05,57599.89
1617917760000,57599.89,57607.5,57598.56,57599.4
1617917820000,57599.39,57620.01,57598.92,57608.0
1617917880000,57608.0,57617.2,57600.0,57615.02
1617917940000,57615.02,57615.02,57604.03,57605.01
1617918000000,57605.0,57605.01,57570.0,57572.09
1617918060000,57570.01,57582.88,57560.84,57581.38
1617918120000,57581.37,57588.43,57570.46,57571.3
1617918180000,57571.42,57611.83,57571.31,57611.82
1617918240000,57611.82,57623.72,57607.53,57610.79
1617918300000,57610.8,57666.35,57607.91,57660.56
1617918360000,57661.65,57689.67,57651.33,57686.5
1617918420000,57686.49,57694.09,57659.96,57677.58
1617918480000,57677.59,57677.59,57660.13,57669.27
1617918540000,57669.28,57677.3,57660.21,57669.07
1617918600000,57669.06,57750.0,57666.59,57744.33
1617918660000,57744.33,57750.0,57720.07,57733.18
1617918720000,57733.18,57750.0,57716.62,57720.58
1617918780000,57720.57,57720.58,57699.2,57700.05
1617918840000,57700.05,57704.03,57691.85,57694.14
1617918900000,57694.14,57694.15,57681.23,57681.5
1617918960000,57681.5,57693.84,57681.5,57685.0
1617919020000,57685.0,57693.88,57679.15,57681.01
1617919080000,57681.01,57686.5,57677.9,57681.6
1617919140000,57681.61,57681.61,57669.28,57669.7
1617919200000,57669.69,57669.92,57600.0,57604.94
1617919260000,57603.89,57619.23,57575.05,57578.78
1617919320000,57578.79,57588.41,57569.8,57588.4
1617919380000,57588.41,57655.93,57588.4,57638.57
